ticker,Name,weight,theme_primary,theme_phase_primary,theme_memberships,theme_count,theme_leadership_rank
NVDA,NVIDIA CORP,0.1399999999999999,ai_compute,maturing,"ai_compute,semi_design_memory",2,5
GOOG,ALPHABET INC CLASS C,0.1399999999999999,ai_software,dead,"ai_software,cloud_hyperscale",2,2
LNG,CHENIERE ENERGY INC,0.0407603525255092,lng_midstream,early,lng_midstream,1,3
AVGO,BROADCOM INC,0.0822000943239958,ai_compute,maturing,"ai_compute,semi_design_memory",2,6
APH,AMPHENOL CORP CLASS A,0.0334660067537277,electrical_components,peaking,electrical_components,1,2
BKNG,BOOKING HOLDINGS INC,0.0399999999999999,travel_booking,dead,travel_booking,1,4
GEV,GE VERNOVA INC,0.0464615891209921,power_grid_infra,peaking,power_grid_infra,1,1
JNJ,JOHNSON & JOHNSON,0.0781455058026529,pharma_large_cap,peaking,pharma_large_cap,1,1
AAPL,APPLE INC,0.0782996355698808,consumer_tech_mega,dead,consumer_tech_mega,1,1
ETR,ENTERGY CORP,0.0378123984909097,utilities_regulated,early,utilities_regulated,1,2
MRVL,MARVELL TECHNOLOGY INC,0.0320810717804441,semi_design_memory,maturing,semi_design_memory,1,2
ADI,ANALOG DEVICES INC,0.0312932194633608,semi_analog,peaking,semi_analog,1,1
VRT,VERTIV HOLDINGS CLASS A,0.04,ai_compute,maturing,"ai_compute,data_center_infra,industrial_reshoring",3,1
PR,PERMIAN RESOURCES CORP CLASS A,0.0386292426728069,oil_gas_ep,maturing,oil_gas_ep,1,1
RL,RALPH LAUREN CORP CLASS A,0.0337811334108311,luxury_discretionary,peaking,luxury_discretionary,1,2
FTI,TECHNIPFMC PLC,0.0374504498399192,oil_gas_services,peaking,oil_gas_services,1,1
AKAM,AKAMAI TECHNOLOGIES INC,0.0330061041820224,telecom_internet,early,telecom_internet,1,1
