portfolio,ticker,target_weight,current_weight,delta_weight,rank,company_name,sector,lane,theme,selection_score,reference_price,reference_price_date,suggested_action,selection_reason,review_required,review_reason,production_mutation_allowed,live_trading_enabled,human_approval_required,target_book_source
concentrated,MU,0.4028425177289776,0.0,0.4028425177289776,1,MICRON TECHNOLOGY INC,Information Technology,,,6.838510267213639,1133.989990234375,2026-06-18,BUY_OR_HOLD_TO_TARGET,concentrated_selection_source=monster_extreme_early; concentrated_preferred_sleeve=True; portfolio_sleeve_label=future_winner; portfolio_defensive_rotation_action=promote_monster_early; theme_holding_profile_primary=long_duration,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
concentrated,WDC,0.3923291279258925,0.2093310643384013,0.18299806358749118,2,WESTERN DIGITAL CORP,Information Technology,,,7.396851938851831,746.22998046875,2026-06-18,BUY_OR_HOLD_TO_TARGET,concentrated_selection_source=monster_extreme_early; concentrated_preferred_sleeve=True; portfolio_sleeve_label=future_winner; portfolio_defensive_rotation_action=promote_monster_early; theme_holding_profile_primary=long_duration,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
concentrated,SNDK,0.2048283543451299,0.3843085291265034,-0.17948017478137349,3,SANDISK CORP,Information Technology,,,3.571043676157161,2184.75,2026-06-18,BUY_OR_HOLD_TO_TARGET,concentrated_selection_source=monster_extreme_early; concentrated_preferred_sleeve=True; portfolio_sleeve_label=future_winner; portfolio_defensive_rotation_action=promote_monster_early; theme_holding_profile_primary=long_duration,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
concentrated,CASH,0.0,0.0572544399878211,-0.0572544399878211,4,Cash reserve,Cash,,,0.0,1.0,2026-06-18,NO_CASH_TARGET,residual cash after target stock weights,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
main,GOOG,0.1725138975064578,0.0,0.1725138975064578,1,ALPHABET INC CLASS C,Communication,,,5.67153914713045,367.4599914550781,2026-06-18,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=compounder,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
main,CAT,0.1239240206209303,0.0,0.1239240206209303,2,CATERPILLAR INC,Industrials,,,5.344447147986744,985.8200073242188,2026-06-18,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
main,GEV,0.1201509156222929,0.0,0.1201509156222929,3,GE VERNOVA INC,Industrials,,,4.736992794092062,1109.72998046875,2026-06-18,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
main,VRT,0.0619988821913307,0.0,0.0619988821913307,4,VERTIV HOLDINGS CLASS A,Industrials,,,6.577195876154869,333.04998779296875,2026-06-18,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
main,UMC,0.0517039756116096,0.0,0.0517039756116096,5,United Microelectronics,Semiconductors,,,4.94259123796169,24.07999992370605,2026-06-18,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
main,FIX,0.0485404880645513,0.0297562790646873,0.018784208999864,6,COMFORT SYSTEMS USA INC,Industrials,,,3.078910423744861,1931.77001953125,2026-06-17,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,True,data_readiness.ready_for_policy_replay is false; main operating target book max date 2026-06-17 is older than latest target date 2026-06-18,False,False,True,
